SKU,VAR1 – ?????,VAR2-???????????,VAR3-??????????????,VAR4-??????????????,VAR5-????,VAR6-????,Origin-????????? ???????,?????????? ?????,Variant Sell Price,Image Src,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Georgia,Price / Georgia,Compare At Price / Georgia,Included / International,Price / International,Compare At Price / International,Status
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/86FF069A-D69C-4DB1-899A-6998E8AF8D19.jpg?v=1697184288,???????-???????????-?????-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/86FF069A-D69C-4DB1-899A-6998E8AF8D19.jpg?v=1697184288,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/72EE0BB9-4BBC-4498-9AF2-13104EC0AAC9.jpg?v=1697184288,???????-???????????-?????-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/72EE0BB9-4BBC-4498-9AF2-13104EC0AAC9.jpg?v=1697184288,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,???????,,,??????,27x13x7,??????????,,2,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/c5e8be7afcd5829312c27bacd414f825.jpg?v=1690824275,?????,??????? ?????,"<span data-mce-fragment=""1"">????? ??????????? ?????????? ????????????????. ???? ???? ??????</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????",true,Size,27x13x7,,,,,,0,shopify,0,deny,manual,2,,true,true,'76749079,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/c5e8be7afcd5829312c27bacd414f825.jpg?v=1690824275,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_05580229-7345-47d9-a59f-0dbbb77039e1.jpg?v=1690824275,?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_05580229-7345-47d9-a59f-0dbbb77039e1.jpg?v=1690824275,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_9370a504-9de5-4ed0-bb37-7ce22b845079.jpg?v=1690824275,?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_9370a504-9de5-4ed0-bb37-7ce22b845079.jpg?v=1690824275,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,???????,???????,,,?????,19x19x4,??????????,,2,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_23c3e640-3032-4393-b207-bcd1696ad73e.jpg?v=1690824166,?????-???????-?????,????? ??????? ?????,"<span data-mce-fragment=""1"">????? ??????????? ?????????? ???????????????.. ?????? ???? 2.00 ????.</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ??????????? ?????, ??????? ?????, ????? ?????",true,Size,19x19x4,,,,,,0,shopify,0,deny,manual,2,,true,true,'23402775,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_23c3e640-3032-4393-b207-bcd1696ad73e.jpg?v=1690824166,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_7ccb7c1b-1b74-42c6-8cf1-b0de00db4c29.jpg?v=1690824166,?????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_7ccb7c1b-1b74-42c6-8cf1-b0de00db4c29.jpg?v=1690824166,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/4_e3bd24cb-9732-4ae8-83fb-5a1f7acd352c.jpg?v=1690824166,?????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/4_e3bd24cb-9732-4ae8-83fb-5a1f7acd352c.jpg?v=1690824166,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,???????,?????,,,??????,20x20x4.5,??????????,,3,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/29f3c241ba418af89bf54d07d221cec8.jpg?v=1690824060,?????-???????-?????-1,??????? ????? - ?????,"<span data-mce-fragment=""1"">??????????? ?????????? ???????????????. ?????? ????? 3.00?.</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ????? ??????? ?????, ??????? ?????",true,Size,20x20x4.5,,,,,,0,,0,deny,manual,3,,false,false,'64354839,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/29f3c241ba418af89bf54d07d221cec8.jpg?v=1690824060,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/4_744469ec-2f9d-4adb-82d2-0fb88f0f96c0.jpg?v=1690824060,?????-???????-?????-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/4_744469ec-2f9d-4adb-82d2-0fb88f0f96c0.jpg?v=1690824060,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,???????,??????????,??????????????,??????,19x4x4,??????????,,0.6,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/7c66480420481cf6632e3703d0108dc6.jpg?v=1690823398,?????????-???????-?????,????? - ??????? - ????????? - 19x4x4,"<p><span data-mce-fragment=""1"">????????? ??????? ????? ??????????? ?????????? ??????????????? (????? ????????) ???? ???????.</span></p>
<p> </p>
<p><span data-mce-fragment=""1"">?????? ???????? ????????<br>?????-???-???-???-19x4x4-???</span></p>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ????????? ?????, ??????? ?????",true,Size,19x4x4,,,,,,0,,0,deny,manual,0.6,,false,false,'40181015,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/7c66480420481cf6632e3703d0108dc6.jpg?v=1690823398,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_2eb38614-3032-4061-9440-e0b0e2dbf297.jpg?v=1690823398,?????????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_2eb38614-3032-4061-9440-e0b0e2dbf297.jpg?v=1690823398,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_d2740378-224e-4a72-bf7d-08cfea62694a.jpg?v=1690823398,?????????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_d2740378-224e-4a72-bf7d-08cfea62694a.jpg?v=1690823398,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,???????,??????????,??????????????,??????,25x12x6.5,??????????,,1.5,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/91855117ccdddc4c25da0f0358fd4258.jpg?v=1690823244,?????-?????-???????,????? ????? ???????,"<span data-mce-fragment=""1"">????? ??????????? ?????????? ???????????????. ???? ???????.</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ??????????? ?????, ??????? ?????",true,Size,25x12x6.5,,,,,,0,,0,deny,manual,1.5,,false,false,'78970391,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/91855117ccdddc4c25da0f0358fd4258.jpg?v=1690823244,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_53a3db4b-a2b5-4460-8ec9-2e8752b189b5.jpg?v=1690823244,?????-?????-???????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_53a3db4b-a2b5-4460-8ec9-2e8752b189b5.jpg?v=1690823244,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_a12d504e-8dca-45d1-8cbb-a7bd14a90d67.jpg?v=1690823244,?????-?????-???????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_a12d504e-8dca-45d1-8cbb-a7bd14a90d67.jpg?v=1690823244,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,???????,??????????,,?????,25x12x6.5,??????????,?????????,0.5,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/98e71f9a4f970d60221b2a6d8169436b.jpg?v=1690823112,?????-???????-?????-?????????,????? - ??????? -  ????????? - 25x12x6.5 - ?????,"<span data-mce-fragment=""1"">????? ??????????? ?????????? ????????????????.. ???? ???????.</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ????? ?????, ????? ??????? ?????, ??????? ?????, ????????? ?????, ????????? ??????? ?????",true,Size,25x12x6.5,,,,,,0,,0,deny,manual,0.5,,false,false,'28311063,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/98e71f9a4f970d60221b2a6d8169436b.jpg?v=1690823112,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_dcdddff9-a706-430d-86ed-75ad83602899.jpg?v=1690823112,?????-???????-?????-?????????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_dcdddff9-a706-430d-86ed-75ad83602899.jpg?v=1690823112,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,???????,???????,???????????,,?????,4x20x7,??????????,?????????,2.5,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/4bcd9e04a192a3a2850eba9c21884f8e.jpg?v=1690822517,?????????-???????????-?????,????? - ????????? - ??????????? - 4x20x7,"<span data-mce-fragment=""1"">????????? ??????????? ????? ??????????? ???????? ?? ????????? ??????????? (????? ????????)</span><br data-mce-fragment=""1""><span class=""masha_index masha_index6"" rel=""6"" data-mce-fragment=""1""></span><span data-mce-fragment=""1"">???????: ??????????</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ????????? ??????????? ?????, ??????????? ?????",true,Size,4x20x7,,,,,,0,,0,deny,manual,2.5,,false,false,'71901463,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/4bcd9e04a192a3a2850eba9c21884f8e.jpg?v=1690822517,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_7b77a4fa-2ce8-48b3-bb52-620b1db4ee29.jpg?v=1690822518,?????????-???????????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_7b77a4fa-2ce8-48b3-bb52-620b1db4ee29.jpg?v=1690822518,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,,,,??????,25x12x13,??????????,??????? ???????,2,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/v1.png?v=1690821763,???????-???????-?????-1,??????? ??????? ?????,"<span data-mce-fragment=""1"">??????? ????? ??????????? ??????? ??????????????? ???????????????</span><br data-mce-fragment=""1""><span class=""masha_index masha_index6"" rel=""6"" data-mce-fragment=""1""></span><span data-mce-fragment=""1"">?????? ???? 2 ?????</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ??????? ?????, ??????? ?????",true,Size,25x12x13,,,,,,0,,0,deny,manual,2,,false,false,'16008215,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/v1.png?v=1690821763,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/v3.png?v=1690821763,???????-???????-?????-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/v3.png?v=1690821763,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/v2.png?v=1690821764,???????-???????-?????-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/v2.png?v=1690821764,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,,,,??????,25x12x6.5,??????????,??????? ???????,1,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/c70008b182642b444b55cbe99736cc40.png?v=1690821425,???????-???????-?????,??????? ??????? ?????,"<span data-mce-fragment=""1"">??????? ????? ??????????? ??????? ??????????????? ???????????????</span><br data-mce-fragment=""1""><span class=""masha_index masha_index6"" rel=""6"" data-mce-fragment=""1""></span><span data-mce-fragment=""1"">?????? ????: 1?</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ??????? ??????, ??????? ??????? ?????, ??????? ?????",true,Size,25x12x6.5,,,,,,0,,0,deny,manual,1,,false,false,'75662871,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/c70008b182642b444b55cbe99736cc40.png?v=1690821425,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_99f47713-ae98-4c01-b13f-b00e73d3b81a.png?v=1690821426,???????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_99f47713-ae98-4c01-b13f-b00e73d3b81a.png?v=1690821426,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_40775ec9-fa53-4e6e-9cc1-6be254e237df.png?v=1690821426,???????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_40775ec9-fa53-4e6e-9cc1-6be254e237df.png?v=1690821426,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,?????,???????????,,??????,21.5x6x5.5,?????,???????,1.5,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3b9e32e0b1aa51137d54ec0ce30771f2.png?v=1690821087,???????-???????-?????,????? - ??????? - ???????,"<p><span data-mce-fragment=""1"">??????????? ?????????? ???????????????.</span></p>
<p> </p>
<p><span data-mce-fragment=""1"">?????? ???????? ????????</span></p>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"???????, ?????, ??????? ?????, ??????? ??????? ?????, ??????? ?????",true,Size,21.5x6x5.5,,,,,,0,,0,deny,manual,1.5,,false,false,'43181847,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3b9e32e0b1aa51137d54ec0ce30771f2.png?v=1690821087,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_cba6255b-6756-4ada-8937-ba224f281d55.png?v=1690821087,???????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/2_cba6255b-6756-4ada-8937-ba224f281d55.png?v=1690821087,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_7a9b5e1c-c898-44f3-9080-073b93730013.png?v=1690821087,???????-???????-?????,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/3_7a9b5e1c-c898-44f3-9080-073b93730013.png?v=1690821087,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????????,?????,???????????,,?????,23x11.4x6.5,??????,?????? ??????????? (???????????),6.5,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/d10bd48536827c6e59690ef99bc476e6.png?v=1690820969,??????-???????????-?????,?????? ??????????? ?????,"<span data-mce-fragment=""1"">????? ??????????? ?????, ??????????? ???????? ???????????.</span>",Rako.ge,Hardware > Building Consumables > Masonry Consumables > Bricks & Concrete Blocks,bricks,"?????, ????? ??????????? ?????, ?????? ?????, ??????????? ????",true,Size,23x11.4x6.5,,,,,,0,,0,deny,manual,6.5,,false,false,'05728023,https://cdn.shopify.com/s/files/1/0797/7723/5223/files/d10bd48536827c6e59690ef99bc476e6.png?v=1690820969,1,,false,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
